Symbol	Species
BSK	drosophila melanogaster
BUFFY	drosophila melanogaster
CALR	homo sapiens
CALR	mus musculus
CASP2	danio rerio
CASP2	mus musculus
CASP3	mus musculus
CASP3A	danio rerio
CASP3B	danio rerio
CASP6	mus musculus
CASP7	mus musculus
CASP8	danio rerio
CASP8	mus musculus
CASP8L2	danio rerio
CASP9	mus musculus
CASPASE-14	homo sapiens
CASPASE-14	mus musculus
CD36	mus musculus
CED-1	caenorhabditis elegans
CED-3	caenorhabditis elegans
CED-4	caenorhabditis elegans
CED-8	caenorhabditis elegans
CED-9	caenorhabditis elegans
CEP-1	caenorhabditis elegans
CFLAR	danio rerio
CFLAR	mus musculus
CIAP1	homo sapiens
CRC	drosophila melanogaster
CSP-3	caenorhabditis elegans
CYCS	mus musculus
CYLD	mus musculus
CYT-C-D	drosophila melanogaster
CYTOCHROME C	homo sapiens
DAMM	drosophila melanogaster
DCP-1	drosophila melanogaster
DCT-1	caenorhabditis elegans
DEBCL	drosophila melanogaster
DECAY	drosophila melanogaster
DIABLO	mus musculus
DP5	mus musculus
DREAM	drosophila melanogaster
DRPR	drosophila melanogaster
EGL-1	caenorhabditis elegans
EGR	drosophila melanogaster
FADD	danio rerio
FADD	mus musculus
FAS	danio rerio
FAS	mus musculus
FASL	homo sapiens
FASL	mus musculus
FASLG	danio rerio
GRIM	drosophila melanogaster
GZMB	homo sapiens
GZMB	mus musculus
HDR	danio rerio
HIPK	drosophila melanogaster
HTRA2	drosophila melanogaster
IAP2	drosophila melanogaster
ICAM3	homo sapiens
ICE	drosophila melanogaster
JAFRAC2	drosophila melanogaster
LRDD	homo sapiens
LRDD	mus musculus
LRP1	homo sapiens
MCL1	mus musculus
MCL1A	danio rerio
MCL1B	danio rerio
NC	drosophila melanogaster
NEX-1	caenorhabditis elegans
NOXA	homo sapiens
PARP1	mus musculus
PARP2	mus musculus
PHAP	homo sapiens
PMAIP1	danio rerio
PMAIP1	mus musculus
PUMA	homo sapiens
RIPK1	mus musculus
RIPK3	mus musculus
RPR	drosophila melanogaster
SKL	drosophila melanogaster
TH	drosophila melanogaster
TNF	mus musculus
TNFA	danio rerio
TNFB	danio rerio
TNFRSF10B	mus musculus
TNFRSF1A	mus musculus
TNFRSF1B	mus musculus
TNFRSF21	danio rerio
TNFRSF22	mus musculus
TNFRSF23	mus musculus
TNFRSFA	danio rerio
TNFSF10L	danio rerio
TNFSF10L2	danio rerio
TNFSF10L3	danio rerio
TNFSF10L4	danio rerio
TRADD	danio rerio
TRADD	mus musculus
TRAF1	drosophila melanogaster
TRAF2	drosophila melanogaster
TRAIL	mus musculus
TRAIL-R1, DR4	homo sapiens
TRAIL-R2, TNFRSF10B	homo sapiens
TRAIL-R3 / TNFSF10C	homo sapiens
TRAIL-R4, TNFRSF10D	homo sapiens
TRP53	mus musculus
W	drosophila melanogaster
WAH-1	caenorhabditis elegans
WGN	drosophila melanogaster
XIAP	mus musculus
RPL8	homo sapiens
IREB2	homo sapiens
ATP5MC3	homo sapiens
CS	homo sapiens
EMC2	homo sapiens
ACSF2	homo sapiens
NOX1	homo sapiens
CYBB	homo sapiens
NOX3	homo sapiens
NOX4	homo sapiens
NOX5	homo sapiens
DUOX1	homo sapiens
DUOX2	homo sapiens
G6PD	homo sapiens
PGD	homo sapiens
VDAC2	homo sapiens
ACSL4	homo sapiens
LPCAT3	homo sapiens
NRAS	homo sapiens
KRAS	homo sapiens
HRAS	homo sapiens
CARS1	homo sapiens
KEAP1	homo sapiens
HMOX1	homo sapiens
ATG5	homo sapiens
ATG7	homo sapiens
NCOA4	homo sapiens
TF	homo sapiens
ALOX5	homo sapiens
ALOX12	homo sapiens
ALOX12B	homo sapiens
ALOX15	homo sapiens
ALOX15B	homo sapiens
ALOXE3	homo sapiens
PHKG2	homo sapiens
SAT1	homo sapiens
EGFR	homo sapiens
MAPK3	homo sapiens
MAPK1	homo sapiens
ZEB1	homo sapiens
DPP4	homo sapiens
CDKN2A	homo sapiens
PEBP1	homo sapiens
SOCS1	homo sapiens
CDO1	homo sapiens
MYB	homo sapiens
SLC1A5	homo sapiens
CHAC1	homo sapiens
LINC00472	homo sapiens
GOT1	homo sapiens
PRKAA2	homo sapiens
PRKAA1	homo sapiens
ELAVL1	homo sapiens
BAP1	homo sapiens
ABCC1	homo sapiens
MIR6852	homo sapiens
ACVR1B	homo sapiens
TGFBR1	homo sapiens
IFNG	homo sapiens
ANO6	homo sapiens
HMGB1	homo sapiens
TNFAIP3	homo sapiens
ATF3	homo sapiens
ATM	homo sapiens
YY1AP1	homo sapiens
EGLN2	homo sapiens
MIOX	homo sapiens
TAFAZZIN	homo sapiens
MTDH	homo sapiens
IDH1	homo sapiens
FBXW7	homo sapiens
PANX1	homo sapiens
DNAJB6	homo sapiens
LONP1	homo sapiens
CD82	homo sapiens
IL1B	homo sapiens
POR	homo sapiens
CYB5R1	homo sapiens
ELOVL5	homo sapiens
FADS1	homo sapiens
PTEN	homo sapiens
IL6	homo sapiens
miR-182-5p	homo sapiens
miR-378a-3p	homo sapiens
CTSB	homo sapiens
ATF4	homo sapiens
LINC00618	homo sapiens
MT1DP	homo sapiens
PEX10	homo sapiens
AGPAT3	homo sapiens
PEX12	homo sapiens
CHP1	homo sapiens
GPAT4	homo sapiens
BRPF1	homo sapiens
OSBPL9	homo sapiens
INTS2	homo sapiens
MMD	homo sapiens
CYP4F8	homo sapiens
MLLT1	homo sapiens
TTPA	homo sapiens
GRIA3	homo sapiens
EPT1	homo sapiens
POM121L12	homo sapiens
LIG3	homo sapiens
AEBP2	homo sapiens
AGPS	homo sapiens
CDCA3	homo sapiens
PEX2	homo sapiens
PEX6	homo sapiens
TIMM9	homo sapiens
DCAF7	homo sapiens
LCE2C	homo sapiens
FAR1	homo sapiens
PHF21A	homo sapiens
SMAD7	homo sapiens
LYRM1	homo sapiens
AMN	homo sapiens
PEX3	homo sapiens
MTCH1	homo sapiens
SIRT1	homo sapiens
ACADSB	homo sapiens
PVT1	homo sapiens
hsa_circ_0008367	homo sapiens
GSK3B	homo sapiens
BRD7	homo sapiens
SLC25A28	homo sapiens
SLC11A2	homo sapiens
ZFAS1	homo sapiens
SLC38A1	homo sapiens
TSC1	homo sapiens
TGFB1	homo sapiens
SNCA	homo sapiens
SIRT3	homo sapiens
TFRC	homo sapiens
CGAS	homo sapiens
STING1	homo sapiens
HDDC3	homo sapiens
MIR761	homo sapiens
MDM2	homo sapiens
MDM4	homo sapiens
MIR214	homo sapiens
DLD	homo sapiens
WWTR1	homo sapiens
PRKCA	homo sapiens
SMPD1	homo sapiens
MYCN	homo sapiens
IFNA1	homo sapiens
IFNA2	homo sapiens
IFNA4	homo sapiens
IFNA5	homo sapiens
IFNA6	homo sapiens
IFNA7	homo sapiens
IFNA8	homo sapiens
IFNA10	homo sapiens
IFNA13	homo sapiens
IFNA14	homo sapiens
IFNA16	homo sapiens
IFNA17	homo sapiens
IFNA21	homo sapiens
SMG9	homo sapiens
TLR4	homo sapiens
PAQR3	homo sapiens
MICU1	homo sapiens
TOR2A	homo sapiens
MIR375	homo sapiens
CircKDM4C	homo sapiens
MIR324	homo sapiens
QSOX1	homo sapiens
CLTRN	homo sapiens
KLF2	homo sapiens
MIR5096	homo sapiens
H19	homo sapiens
YTHDC2	homo sapiens
DDR2	homo sapiens
SLC39A7	homo sapiens
TRIM46	homo sapiens
ACSL1	homo sapiens
KDM5A	homo sapiens
CYGB	homo sapiens
GSTZ1	homo sapiens
ACO1	homo sapiens
GJA1	homo sapiens
SLC7A11	homo sapiens
CIRBP	homo sapiens
circPSEN1	homo sapiens
YAP1	homo sapiens
TRIM26	homo sapiens
NDRG1	homo sapiens
MIR302A	homo sapiens
ASMTL-AS1	homo sapiens
FADS2	homo sapiens
PIEZO1	homo sapiens
LIFR	homo sapiens
PTPN6	homo sapiens
ADAM23	homo sapiens
ARHGEF26-AS1	homo sapiens
CPEB1	homo sapiens
MIR15A	homo sapiens
KDM6B	homo sapiens
METTL14	homo sapiens
MIB1	homo sapiens
KDM5C	homo sapiens
CCDC6	homo sapiens
MIR539	homo sapiens
GPX4	homo sapiens
AKR1C1	homo sapiens
AKR1C2	homo sapiens
AKR1C3	homo sapiens
RB1	homo sapiens
HSPB1	homo sapiens
HSF1	homo sapiens
NFE2L2	homo sapiens
SQSTM1	homo sapiens
NQO1	homo sapiens
FTH1	homo sapiens
MUC1	homo sapiens
MT1G	homo sapiens
SLC40A1	homo sapiens
CISD1	homo sapiens
HSPA5	homo sapiens
HELLS	homo sapiens
SCD	homo sapiens
SRC	homo sapiens
STAT3	homo sapiens
PML	homo sapiens
NFS1	homo sapiens
TP63	homo sapiens
CDKN1A	homo sapiens
MIR137	homo sapiens
FH	homo sapiens
CISD2	homo sapiens
MIR9-1	homo sapiens
MIR9-2	homo sapiens
MIR9-3	homo sapiens
CBS	homo sapiens
ISCU	homo sapiens
ACSL3	homo sapiens
OTUB1	homo sapiens
CD44	homo sapiens
LINC00336	homo sapiens
BRD4	homo sapiens
PRDX6	homo sapiens
MIR17	homo sapiens
SESN2	homo sapiens
NF2	homo sapiens
ARNTL	homo sapiens
HIF1A	homo sapiens
JUN	homo sapiens
CA9	homo sapiens
TMBIM4	homo sapiens
PLIN2	homo sapiens
AIFM2	homo sapiens
LAMP2	homo sapiens
ZFP36	homo sapiens
PROM2	homo sapiens
CHMP5	homo sapiens
CHMP6	homo sapiens
CAV1	homo sapiens
GCH1	homo sapiens
PIR	homo sapiens
GCLC	homo sapiens
HCAR1	homo sapiens
SLC16A1	homo sapiens
RRM2	homo sapiens
NR4A1	homo sapiens
PIK3CA	homo sapiens
RPTOR	homo sapiens
SREBF1	homo sapiens
SREBF2	homo sapiens
FZD7	homo sapiens
P4HB	homo sapiens
BCAT2	homo sapiens
PLA2G6	homo sapiens
MIR424	homo sapiens
PARK7	homo sapiens
FXN	homo sapiens
SUV39H1	homo sapiens
ATF2	homo sapiens
STK11	homo sapiens
FNDC5	homo sapiens
CircIL4R	homo sapiens
CDH1	homo sapiens
NEDD4L	homo sapiens
FTMT	homo sapiens
BRD2	homo sapiens
BRD3	homo sapiens
BRDT	homo sapiens
DECR1	homo sapiens
GLRX5	homo sapiens
NCOA3	homo sapiens
NR5A2	homo sapiens
MTOR	homo sapiens
PANX2	homo sapiens
RHEBP1	homo sapiens
TFAP2A	homo sapiens
CP	homo sapiens
ARF6	homo sapiens
GDF15	homo sapiens
ABHD12	homo sapiens
TFAM	homo sapiens
KDM3B	homo sapiens
RNF113A 	homo sapiens
AHCY	homo sapiens
circ-TTBK2	homo sapiens
MIR522	homo sapiens
IDH2	homo sapiens
PPARA	homo sapiens
SIAH2	homo sapiens
NEDD4	homo sapiens
PRDX1	homo sapiens
AR	homo sapiens
MTF1	homo sapiens
COPZ1	homo sapiens
NUPR1	homo sapiens
USP35	homo sapiens
NEAT1	homo sapiens
PARP1	homo sapiens
PARP2	homo sapiens
PARP3	homo sapiens
PARP4	homo sapiens
PARP6	homo sapiens
PARP8	homo sapiens
PARP9	homo sapiens
PARP10	homo sapiens
PARP11	homo sapiens
PARP12	homo sapiens
PARP14	homo sapiens
PARP15	homo sapiens
PARP16	homo sapiens
PDSS2	homo sapiens
OIP5-AS1	homo sapiens
MIR190A	homo sapiens
CREB1	homo sapiens
CREB3	homo sapiens
CREB5	homo sapiens
MIR130B	homo sapiens
BEX1	homo sapiens
FABP4	homo sapiens
AKT1S1	homo sapiens
MLST8	homo sapiens
TYRO3	homo sapiens
SIRT6	homo sapiens
TMSB4X	homo sapiens
TMSB4Y	homo sapiens
KIF20A	homo sapiens
ECH1	homo sapiens
circRHOT1	homo sapiens
ETV4	homo sapiens
MEG8	homo sapiens
VCP	homo sapiens
circ_0007142	homo sapiens
RBMS1	homo sapiens
KDM4A	homo sapiens
MGST1	homo sapiens
circKIF4A	homo sapiens
miR-7-5p	homo sapiens
circ_0067934	homo sapiens
MPC1	homo sapiens
CAMKK2	homo sapiens
SOX2	homo sapiens
SRSF9	homo sapiens
MIR4443	homo sapiens
MIR27A	homo sapiens
MIR670	homo sapiens
MEF2C	homo sapiens
EZH2	homo sapiens
PEDS1	homo sapiens
CDC25A	homo sapiens
LCN2	homo sapiens
TRIB2	homo sapiens
DHODH	homo sapiens
MIR545	homo sapiens
PDK4	homo sapiens
CircPVT1	homo sapiens
circDTL	homo sapiens
PTPN18	homo sapiens
FTL	homo sapiens
ABCC5	homo sapiens
CISD3	homo sapiens
FURIN	homo sapiens
circRHBG	homo sapiens
GALNT14	homo sapiens
KLHDC3	homo sapiens
LINC01833	homo sapiens
circGFRA1	homo sapiens
GSTM1	homo sapiens
circ0097009	homo sapiens
TMEM161B-DT	homo sapiens
circEPSTI1	homo sapiens
MIR18A	homo sapiens
RARRES2	homo sapiens
USP11	homo sapiens
PTGS2	homo sapiens
DUSP1	homo sapiens
NOS2	homo sapiens
NCF2	homo sapiens
MT3	homo sapiens
UBC	homo sapiens
ALB	homo sapiens
TXNRD1	homo sapiens
SRXN1	homo sapiens
GPX2	homo sapiens
OXSR1	homo sapiens
SELENOS	homo sapiens
ANGPTL7	homo sapiens
DDIT4	homo sapiens
LOC284561	homo sapiens
ASNS	homo sapiens
TSC22D3	homo sapiens
DDIT3	homo sapiens
JDP2	homo sapiens
SLC1A4	homo sapiens
PCK2	homo sapiens
TXNIP	homo sapiens
VLDLR	homo sapiens
GPT2	homo sapiens
PSAT1	homo sapiens
LURAP1L	homo sapiens
SLC7A5	homo sapiens
HERPUD1	homo sapiens
XBP1	homo sapiens
SLC3A2	homo sapiens
ZNF419	homo sapiens
KLHL24	homo sapiens
TRIB3	homo sapiens
ZFP69B	homo sapiens
ATP6V1G2	homo sapiens
VEGFA	homo sapiens
TUBE1	homo sapiens
ARRDC3	homo sapiens
CEBPG	homo sapiens
SNORA16A	homo sapiens
RGS4	homo sapiens
BLOC1S5-TXNDC5	homo sapiens
LOC390705	homo sapiens
EIF2S1	homo sapiens
HSD17B11	homo sapiens
SETD1B	homo sapiens
MAFG	homo sapiens
DRD5	homo sapiens
DRD4	homo sapiens
MAP3K5	homo sapiens
MAPK14	homo sapiens
SLC2A1	homo sapiens
SLC2A3	homo sapiens
SLC2A6	homo sapiens
SLC2A8	homo sapiens
SLC2A12	homo sapiens
GLUT13	homo sapiens
SLC2A14	homo sapiens
EIF2AK4	homo sapiens
HBA1	homo sapiens
NNMT	homo sapiens
PLIN4	homo sapiens
HIC1	homo sapiens
STMN1	homo sapiens
CAPG	homo sapiens
HNF4A	homo sapiens
NGB	homo sapiens
YWHAE	homo sapiens
GABPB1	homo sapiens
AURKA	homo sapiens
MIR4715	homo sapiens
MIR30B	homo sapiens
MMP13	homo sapiens
CBR1	homo sapiens
CARS1	rattus norvegicus
KEAP1	rattus norvegicus
MAPK8	rattus norvegicus
MAPK9	rattus norvegicus
MAPK1	rattus norvegicus
MAPK3	rattus norvegicus
NOX4	rattus norvegicus
TP53	rattus norvegicus
TLR4	rattus norvegicus
USP7	rattus norvegicus
miR-182-5p	rattus norvegicus
miR-378a-3p	rattus norvegicus
ACSL4	rattus norvegicus
MFN2	rattus norvegicus
ZFAS1	rattus norvegicus
SLC38A1	rattus norvegicus
MIR335	rattus norvegicus
SNX5	rattus norvegicus
HOTAIR	rattus norvegicus
FOXO4	rattus norvegicus
MIR135B	rattus norvegicus
COX4I2	rattus norvegicus
lncRNA AABR07017145.1	rattus norvegicus
TIMP1	rattus norvegicus
METTL14	rattus norvegicus
NFE2L2	rattus norvegicus
ENPP2	rattus norvegicus
GPX4	rattus norvegicus
FTL	rattus norvegicus
FTH1	rattus norvegicus
FTMT	rattus norvegicus
SENP1	rattus norvegicus
TMSB4X	rattus norvegicus
TMSB4Y	rattus norvegicus
MARCHF5	rattus norvegicus
ACSF2	rattus norvegicus
IREB2	rattus norvegicus
MIR30B	rattus norvegicus
LRRFIP1	rattus norvegicus
PIK3CA	mus musculus
FLT3	mus musculus
SCP2	mus musculus
TP53	mus musculus
TF	mus musculus
TFRC	mus musculus
TFR2	mus musculus
SLC38A1	mus musculus
SLC1A5	mus musculus
GLS2	mus musculus
GOT1	mus musculus
ALOX5	mus musculus
KEAP1	mus musculus
HMOX1	mus musculus
ATG5	mus musculus
ATG7	mus musculus
ACO1	mus musculus
IREB2	mus musculus
G6PDX	mus musculus
ULK1	mus musculus
ATG3	mus musculus
ATG4D	mus musculus
BECN1	mus musculus
MAP1LC3A	mus musculus
GABARAPL2	mus musculus
GABARAPL1	mus musculus
ATG16L1	mus musculus
WIPI1	mus musculus
WIPI2	mus musculus
SNX4	mus musculus
ATG13	mus musculus
ULK2	mus musculus
NCOA4	mus musculus
SAT1	mus musculus
ACSL4	mus musculus
LPCAT3	mus musculus
ALOX15	mus musculus
DPP4	mus musculus
CDKN2A	mus musculus
PEBP1	mus musculus
MAPK14	mus musculus
ELAVL1	mus musculus
EPAS1	mus musculus
HILPDA	mus musculus
HIF1A	mus musculus
ALOX12	mus musculus
IFNG	mus musculus
ANO6	mus musculus
LPIN1	mus musculus
HMGB1	mus musculus
YY1AP1	mus musculus
EGLN2	mus musculus
MIOX	mus musculus
TAFAZZIN	mus musculus
MTDH	mus musculus
SIRT1	mus musculus
FBXW7	mus musculus
PANX1	mus musculus
DNAJB6	mus musculus
BACH1	mus musculus
IL1B	mus musculus
POR	mus musculus
NR1D1	mus musculus
NR1D2	mus musculus
TBK1	mus musculus
IL6	mus musculus
CTSB	mus musculus
ATF4	mus musculus
LINC00618	mus musculus
PEX10	mus musculus
LIG3	mus musculus
ZEB1	mus musculus
PVT1	mus musculus
SLC39A14	mus musculus
MAP3K11	mus musculus
BRD7	mus musculus
SLC25A28	mus musculus
TSC1	mus musculus
LGMN	mus musculus
IFNA1	mus musculus
IFNA2	mus musculus
IFNA4	mus musculus
IFNA5	mus musculus
IFNA6	mus musculus
IFNA7	mus musculus
IFNA8	mus musculus
IFNA10	mus musculus
IFNA13	mus musculus
IFNA14	mus musculus
IFNA16	mus musculus
IFNA17	mus musculus
IFNA21	mus musculus
PPARG	mus musculus
NOX4	mus musculus
MAP3K14	mus musculus
CircKDM4C	mus musculus
MIB2	mus musculus
TRIM21	mus musculus
DPEP1	mus musculus
IDO1	mus musculus
GJA1	mus musculus
PGRMC1	mus musculus
USP11	mus musculus
ZFAS1	mus musculus
PIEZO1	mus musculus
MIR15A	mus musculus
EGR1	mus musculus
KDM6B	mus musculus
KDM5C	mus musculus
MEG3	mus musculus
CCDC6	mus musculus
CFL1	mus musculus
ALOXE3	mus musculus
KMT2D	mus musculus
GPX4	mus musculus
RB1	mus musculus
HSPB1	mus musculus
HSF1	mus musculus
SLC7A11	mus musculus
GCLC	mus musculus
NFE2L2	mus musculus
SQSTM1	mus musculus
NQO1	mus musculus
FTH1	mus musculus
SLC3A2	mus musculus
MT1G	mus musculus
FANCD2	mus musculus
FTMT	mus musculus
HSPA5	mus musculus
HELLS	mus musculus
MTOR	mus musculus
MIR137	mus musculus
SLC40A1	mus musculus
CBS	mus musculus
OTUB1	mus musculus
SCD	mus musculus
SESN2	mus musculus
NF2	mus musculus
ARNTL	mus musculus
JUN	mus musculus
TMBIM4	mus musculus
PLIN2	mus musculus
MIR212	mus musculus
AIFM2	mus musculus
ZFP36	mus musculus
CHMP5	mus musculus
CHMP6	mus musculus
CAV1	mus musculus
PIR	mus musculus
HCAR1	mus musculus
SLC16A1	mus musculus
FZD7	mus musculus
PLA2G6	mus musculus
PARK7	mus musculus
STAT3	mus musculus
ACOT1	mus musculus
ALDH3A2	mus musculus
FNDC5	mus musculus
CDH1	mus musculus
MIR214	mus musculus
GLRX5	mus musculus
RHEBP1	mus musculus
PPP1R13L	mus musculus
IDH2	mus musculus
NOS2	mus musculus
RELA	mus musculus
VDR	mus musculus
FXN	mus musculus
TXN	mus musculus
FGF21	mus musculus
ASAH2	mus musculus
TYRO3	mus musculus
ECH1	mus musculus
PRDX6	mus musculus
CHMP1A	mus musculus
SOX2	mus musculus
PROK2	mus musculus
SIRT2	mus musculus
circRNA1615	mus musculus
SMPD1	mus musculus
ADAMTS13	mus musculus
CircFNDC3B	mus musculus
PPARD	mus musculus
ENO3	mus musculus
MIR9-3HG	mus musculus
ADIPOQ	mus musculus
mmu_circRNA_0000309	mus musculus
MS4A15	mus musculus
FURIN	mus musculus
circGFRA1	mus musculus
MAPKAP1	mus musculus
MLST8	mus musculus
PRR5	mus musculus
RICTOR	mus musculus
TERT	mus musculus
KIM-1	mus musculus
CXCL2	mus musculus
MAFG	mus musculus
IL33	mus musculus
HAMP	mus musculus
STEAP3	mus musculus
TFAP2C	mus musculus
SP1	mus musculus
SIRT3	sus scrofa
PRKAA2	sus scrofa
FTMT	drosophila melanogaster
Fer1HCH	drosophila melanogaster
CTSB	
AQP3	
AQP5	
AQP8	
DAZAP1	
NT5DC2	
FDX1	homo sapiens
LIAS	homo sapiens
LIPT1	homo sapiens
DLAT	homo sapiens
PDHA1	homo sapiens
PDHB	homo sapiens
SLC31A1	homo sapiens
FLNA	homo sapiens
FLNB	homo sapiens
MYH9	homo sapiens
TLN1	homo sapiens
DBN1	homo sapiens
ACTA1	homo sapiens
ACTA2	homo sapiens
ACTB	homo sapiens
ACTBL2	homo sapiens
ACTC1	homo sapiens
ACTG1	homo sapiens
ACTG2	homo sapiens
MYH10	homo sapiens
NCKAP1	homo sapiens
RPN1	homo sapiens
WASF2	homo sapiens
CYFIP1	homo sapiens
ABI2	homo sapiens
BRK1	homo sapiens
RAC1	homo sapiens
eag	drosophila melanogaster
FIS1	sus scrofa
CYLD	sus scrofa
DDIT4	sus scrofa
SJAG_00564	schizosaccharomyces japonicus yfs275
BCL2L10	felis catus
GSK3B	felis catus
XKR5	felis catus
LOC107934812	gossypium hirsutum
crn-7	caenorhabditis briggsae
SJAG_01948	schizosaccharomyces japonicus yfs275
BRAFLDRAFT_231349	branchiostoma floridae
LOC100064912	equus caballus
GSDMD	equus caballus
TNFRSF4	equus caballus
BRAFLDRAFT_138180	branchiostoma floridae
BRAFLDRAFT_99324	branchiostoma floridae
TM2D1	equus caballus
BRAFLDRAFT_255736	branchiostoma floridae
BRAFLDRAFT_255398	branchiostoma floridae
BRAFLDRAFT_110042	branchiostoma floridae
TM2D1	sus scrofa
FIS1	felis catus
TRADD	felis catus
LOC107935972	gossypium hirsutum
DICER1	ornithorhynchus anatinus
BAD	equus caballus
A0A6I8P2D0	ornithorhynchus anatinus
HTRA1	macaca mulatta
CD40	ornithorhynchus anatinus
A0A6I8P5A6	ornithorhynchus anatinus
GSK3B	anolis carolinensis
CYFIP2	anolis carolinensis
gsk3a	anolis carolinensis
BOK	ornithorhynchus anatinus
FAS	anolis carolinensis
DEDD2	macaca mulatta
A0A6I8P8D9	ornithorhynchus anatinus
CDK5	ornithorhynchus anatinus
DDIT4	ornithorhynchus anatinus
CTSH	ornithorhynchus anatinus
BRAFLDRAFT_130759	branchiostoma floridae
BNIPL	ornithorhynchus anatinus
BRAFLDRAFT_72366	branchiostoma floridae
BRAFLDRAFT_209226	branchiostoma floridae
BNIP3	ornithorhynchus anatinus
ATCAY	macaca mulatta
LOC107905836	gossypium hirsutum
LOC107905805	gossypium hirsutum
ERN2	monodelphis domestica
TOP2A	monodelphis domestica
LOC100185339	ciona intestinalis
CFLAR	macaca mulatta
CTSS	macaca mulatta
BRAFLDRAFT_158006	branchiostoma floridae
TNFRSF11A	monodelphis domestica
BRAFLDRAFT_84492	branchiostoma floridae
BRAFLDRAFT_235423	branchiostoma floridae
GSDMD	macaca mulatta
8040576	ixodes scapularis
PLEKHO2	felis catus
BBC3	felis catus
BCL2A1	macaca mulatta
CTSK	ornithorhynchus anatinus
LOC107941833	gossypium hirsutum
GSK3B	sus scrofa
DDIT3	equus caballus
JMY	ornithorhynchus anatinus
HSPD1	sus scrofa
FADD	felis catus
CASP3	sus scrofa
RNF186	felis catus
FHIT	sus scrofa
RNF186	sus scrofa
YALI0_A14839g	yarrowia lipolytica clib122
A0A287ANP8	sus scrofa
ATCAY	felis catus
A0A0E3W2A3	anopheles gambiae
CASP6	ornithorhynchus anatinus
TNFRSF21	sus scrofa
PHLDA3	monodelphis domestica
F7DQF1	ornithorhynchus anatinus
SIVA1	equus caballus
BOK	sus scrofa
DEDD	sus scrofa
BBC3	monodelphis domestica
BRAFLDRAFT_86621	branchiostoma floridae
H9H6L1	monodelphis domestica
BRAFLDRAFT_71566	branchiostoma floridae
RELT	monodelphis domestica
crn-6	caenorhabditis briggsae
BNIP3	monodelphis domestica
CBG25496	caenorhabditis briggsae
BRAFLDRAFT_85202	branchiostoma floridae
DEDD2	ornithorhynchus anatinus
